"Course subject code","Course number","Course name","Campus","Course description","Minimum credits","Maximum credits","Is this course repeatable?","What is the maximum number of completions allowed?","What is the maximum number of credits that can be earned from this course?","Grading basis","Requirements","Typically offered term(s)"
"CSCI","1103","Introduction to Computer Programming in Java","Twin Cities","Fundamental programming concepts/software development using Java language. Problem solving skills. Algorithm development techniques. Use of abstractions/modularity. Data structures/abstract data types. Substantial programming projects. Weekly lab.
","4","4","No","1","4","OPT - Student Option","-","Every Fall"
"CSCI","1113","Introduction to C/C++ Programming for Scientists and Engineers","Twin Cities","Programming for scientists/engineers. C/C++ programming constructs, object-oriented programming, software development, fundamental numerical techniques. Exercises/examples from various scientific fields.

prereq: Math 1271 or Math 1371 or Math 1571H or instr consent.","4","4","No","1","4","OPT - Student Option","013040","Every Fall, Spring & Summer"
"CSCI","1115","Exploring Computer Science Exercises in C++","Twin Cities","This course is designed as a complement to CSCI 1113 for students who elect to devote additional time to get a broader exposure to concepts and practice of computer science. 

Students will work in small groups to sharpen their problem solving and computational skills, and be exposed to a variety of applications of computing.
","1","1","No","1","1","S-N - S-N Grade Basis","011045","Every Fall & Spring"
"CSCI","1133","Introduction to Computing and Programming Concepts","Twin Cities","Fundamental programming concepts using Python language. Problem solving skills, recursion, object-oriented programming. Algorithm development techniques. Use of abstractions/modularity. Data structures/abstract data types. Develop programs to solve real-world problems.

prereq: none","4","4","No","1","4","OPT - Student Option","-","Every Fall, Spring & Summer"
"CSCI","1133H","Honors Introduction to Computing and Programming Concepts","Twin Cities","Programming concepts using Python language. Real world problem solving, recursion, object-oriented programming. Algorithm development techniques. Abstractions/modularity. Optional honors topics: programming robots, programming paradigms, artificial intelligence.

prereq: [concurrent registration is required (or allowed) in MATH 1271 or concurrent registration is required (or allowed) in MATH 1371 or concurrent registration is required (or allowed) in MATH 1571H], CSci majors, pre-majors in CSE/CLA, honors student","4","4","No","1","4","A-F - A-F Grade Basis","000571","Every Fall"
"CSCI","1135","Exploring Computer Science Exercises in Python","Twin Cities","This course is designed as a complement to CSCI 1133 for students who elect to devote additional time to get a broader exposure to concepts and practice of computer science. 

Students will work in small groups to sharpen their problem solving and computational skills, and be exposed to a variety of applications of computing.","1","1","No","1","1","S-N - S-N Grade Basis","011046","Every Fall & Spring"
"CSCI","1521","Programming Lab: Thinking with Machines","Twin Cities","This companion course to CSCI 2521: Thinking with Machines provides essential coding foundations for students with limited programming experience. Through hands-on exercises and practical examples, students will develop the minimal technical skills necessary for introductory AI-assisted development (""vibe coding"").

The course focuses on practical coding literacy rather than comprehensive programming education. Students will learn just enough technical concepts to effectively communicate with AI coding assistants, understand introductory generated code, debug common errors, and successfully complete the CSCI 2521 software project.

Key areas include understanding development environments, basic Python syntax and data structures, working with APIs, debugging strategies, version control basics, and deployment fundamentals.

co-req: CSCI 2521","1","1","No","1","1","A-F - A-F Grade Basis","013969","Every Fall"
"CSCI","1913","Introduction to Algorithms, Data Structures, and Program Development","Twin Cities","Advanced Object-Oriented programming to implement abstract data types (stacks, queues, lists, key-value stores) using various implementation strategies (array-backed, linked data structures, hash tables, binary trees) using the Java language. Searching/sorting algorithms. Basic algorithmic analysis. The Python scripting language. Substantial programming projects and Weekly labs.

prereq: (CSCI 1103 or CSCI 1113 or EE 1301 or instr consent) AND (concurrent registration in MATH 1271 or MATH 1371 or MATH 1571H or MATH 1142 or instr consent)","4","4","No","1","4","OPT - Student Option","013762","Every Fall, Spring & Summer"
"CSCI","1923","Python as a Second Programming Language","Twin Cities","Fundamental programming concepts and scripting using the Python language for students already familiar with programming concepts and syntax in C, C++, or Java. File IO and the use of libraries. Develop programs to solve real-world problems. This course is not intended for students who have taken CSCI 1133.

prereq: CSci 1103 or CSci 1113","1","1","No","1","1","OPT - Student Option","013949","Every Fall & Spring"
"CSCI","1933","Introduction to Algorithms and Data Structures","Twin Cities","Advanced object oriented programming to implement abstract data types (stacks, queues, linked lists, hash tables, binary trees) using Java language. Inheritance. Searching/sorting algorithms. Basic algorithmic analysis.  Use of software development tools. Weekly lab.

prereq: Calc I (Math 1271 or Math 1371 or Math 1571H) as a corequisite, CSci 1133 as a prerequisite.","4","4","No","1","4","OPT - Student Option","013225","Every Fall, Spring & Summer"
